city,country,lat,lon,baseline_temp_c,future_temp_c,delta_temp_c,delta_summer_temp_c,delta_precip_pct,baseline_heat_days,future_heat_days,delta_heat_days,resilience_score,risk_tier
Bergamo,Italy,45.7567,9.7542,10.2,12.0,1.8,2.2,-9.9,0.0,0.0,0.0,51.3,Moderate Risk
Madrid,Spain,40.4168,-3.7035,14.3,16.2,1.8,2.2,-2.8,8.3,33.5,25.3,43.6,High Risk
Split,Croatia,43.5116,16.44,15.4,17.2,1.8,2.3,-7.3,2.0,7.4,5.4,49.9,High Risk
Tartu,Estonia,58.378,26.729,6.4,8.5,2.1,1.6,-0.6,0.0,0.0,0.0,70.3,Moderate Risk
Ljubljana,Slovenia,46.05,14.5069,10.3,12.0,1.7,2.1,-6.3,0.0,0.0,0.0,60.3,Moderate Risk
Athens,Greece,37.9756,23.7348,17.8,19.3,1.5,1.9,-6.8,12.4,38.8,26.4,45.6,High Risk
Bari,Italy,41.1258,16.862,17.1,18.6,1.6,1.8,-4.2,0.0,1.0,1.0,69.1,Moderate Risk
Heraklion,Greece,35.3391,25.1333,18.9,20.2,1.3,1.5,-2.9,1.0,5.9,4.9,77.6,Low Risk
Palermo,Italy,38.1112,13.3524,18.4,19.7,1.4,1.6,-10.9,1.0,2.2,1.2,64.2,Moderate Risk
Bratislava,Slovakia,48.1559,17.1314,11.1,13.0,1.9,2.2,-2.2,0.0,3.2,3.2,59.8,Moderate Risk
Bilbao,Spain,43.263,-2.935,14.3,15.5,1.2,1.1,-11.8,0.0,0.0,0.0,74.4,Moderate Risk
Riga,Latvia,56.9494,24.1052,7.5,9.5,2.0,1.5,-4.0,0.0,0.0,0.0,67.9,Moderate Risk
Thessaloniki,Greece,40.6403,22.9353,16.1,17.8,1.7,2.1,-0.2,11.1,35.5,24.4,51.6,Moderate Risk
Lisbon,Portugal,38.7078,-9.1366,16.9,18.2,1.3,1.2,-6.9,1.0,1.0,0.0,79.2,Low Risk
Rijeka,Croatia,45.3268,14.4422,13.7,15.4,1.7,2.2,-9.0,0.0,5.0,5.0,50.6,Moderate Risk
Santa Cruz de Tenerife,Spain,28.4672,-16.2508,20.6,21.6,1.0,1.0,-6.3,0.0,0.0,0.0,88.2,Low Risk
Zagreb,Croatia,45.8131,15.9773,11.7,13.5,1.8,2.3,-7.1,1.3,4.3,3.0,52.1,Moderate Risk
Oviedo,Spain,43.3533,-5.8795,12.0,13.2,1.3,1.4,-9.0,0.0,0.0,0.0,72.9,Moderate Risk
Brno,Czech Republic,49.1922,16.6113,9.8,11.7,1.8,2.0,-2.9,0.0,1.5,1.5,64.5,Moderate Risk
Warsaw,Poland,52.2334,21.0711,9.2,11.0,1.8,1.8,0.2,0.0,0.0,0.0,73.0,Moderate Risk
Vilnius,Lithuania,54.687,25.2829,7.5,9.4,1.9,1.6,3.3,0.0,0.0,0.0,69.2,Moderate Risk
Kaunas,Lithuania,54.8982,23.9045,8.0,9.9,1.9,1.6,3.6,0.0,0.0,0.0,68.7,Moderate Risk
Catania,Italy,37.5024,15.0874,18.5,20.0,1.5,1.9,-6.5,4.7,21.7,17.1,53.2,Moderate Risk
Valencia,Spain,39.4697,-0.3763,17.8,19.2,1.5,1.7,-7.8,1.4,4.3,2.9,64.9,Moderate Risk
Kosice,Slovakia,48.7172,21.2497,9.5,11.3,1.8,1.9,-4.4,0.0,1.0,1.0,63.9,Moderate Risk
Alicante,Spain,38.3436,-0.4882,18.3,19.8,1.6,1.8,-6.3,1.0,4.1,3.1,64.0,Moderate Risk
Budapest,Hungary,47.4979,19.0402,11.5,13.4,1.9,2.4,-4.7,1.2,3.4,2.2,53.5,Moderate Risk
Malaga,Spain,36.7213,-4.4216,18.3,19.9,1.6,1.8,-5.7,1.0,2.8,1.8,66.0,Moderate Risk
Plzen,Czech Republic,49.7477,13.3775,9.2,11.0,1.7,1.9,2.4,0.0,0.0,0.0,69.6,Moderate Risk
Krakow (Cracow),Poland,50.0699,19.9715,8.9,10.7,1.8,1.9,0.4,0.0,1.0,1.0,70.5,Moderate Risk
Wroclaw,Poland,51.1263,16.9782,9.8,11.6,1.8,1.9,1.0,0.0,1.0,1.0,69.5,Moderate Risk
Moscow,Russia,55.6256,37.6064,5.5,7.5,2.0,1.8,1.4,0.0,0.0,0.0,67.7,Moderate Risk
Las Palmas de Gran Canaria,Spain,28.1289,-15.4349,19.5,20.4,1.0,0.9,-4.2,0.0,0.0,0.0,93.1,Low Risk
Ostrava,Czech Republic,49.8349,18.282,9.2,11.0,1.7,1.9,2.7,0.0,1.0,1.0,68.4,Moderate Risk
Gdansk,Poland,54.3483,18.654,8.9,10.6,1.7,1.5,1.7,0.0,0.0,0.0,76.7,Low Risk
Porto,Portugal,41.1502,-8.6103,15.1,16.5,1.4,1.6,-13.0,0.0,0.0,0.0,61.7,Moderate Risk
Tirana,Albania,41.3281,19.8184,15.5,17.1,1.7,2.2,-11.6,2.6,14.1,11.5,41.4,High Risk
Gdynia,Poland,54.5233,18.604,9.0,10.7,1.7,1.5,0.5,0.0,0.0,0.0,78.6,Low Risk
Seville (Sevilla),Spain,37.3868,-5.9936,18.9,20.6,1.7,1.7,-6.8,48.1,72.5,24.4,46.7,High Risk
Budva,Montenegro,42.2886,18.842,16.5,18.2,1.7,2.2,-13.6,6.0,5.9,-0.1,47.0,High Risk
Granada,Spain,37.1735,-3.5995,15.9,17.8,1.9,2.1,-10.8,13.4,46.0,32.6,24.7,Critical
Pecs,Hungary,46.0765,18.228,12.0,13.9,1.9,2.3,-4.7,1.8,4.4,2.6,54.7,Moderate Risk
Belgrade,Serbia,44.8153,20.4457,13.0,14.9,1.9,2.4,-5.2,3.6,11.4,7.8,48.4,High Risk
Funchal,Portugal,32.6496,-16.9087,19.1,20.1,1.0,0.9,-7.9,0.0,0.0,0.0,87.0,Low Risk
Lodz,Poland,51.7687,19.457,8.8,10.5,1.8,1.8,0.7,0.0,0.0,0.0,72.2,Moderate Risk
Olomouc,Czech Republic,49.5941,17.2511,9.3,11.0,1.8,2.0,-0.9,0.0,0.0,0.0,68.9,Moderate Risk
Braga,Portugal,41.5511,-8.428,13.9,15.5,1.5,1.8,-13.5,0.0,2.5,2.5,54.4,Moderate Risk
Coimbra,Portugal,40.2112,-8.4295,15.7,17.2,1.4,1.5,-10.4,2.8,4.6,1.8,66.1,Moderate Risk
Poznan,Poland,52.4083,16.9335,9.6,11.3,1.7,1.8,1.8,0.0,0.0,0.0,72.1,Moderate Risk
Sofia,Bulgaria,42.6977,23.3217,10.8,12.4,1.6,2.1,-0.6,0.0,2.0,2.0,69.8,Moderate Risk
Debrecen,Hungary,47.5314,21.626,11.5,13.4,1.9,2.3,-5.2,1.8,4.8,3.0,53.5,Moderate Risk
Bucharest,Romania,44.4361,26.1027,12.1,13.9,1.9,2.1,-4.9,2.8,9.4,6.7,54.1,Moderate Risk
Cluj-Napoca,Romania,46.7694,23.59,9.5,11.2,1.7,2.1,-0.6,0.0,1.0,1.0,68.9,Moderate Risk
Szczecin,Poland,53.4302,14.551,9.4,11.0,1.6,1.6,3.2,0.0,0.0,0.0,74.4,Moderate Risk
Szeged,Hungary,46.2546,20.1486,12.3,14.2,1.9,2.4,-7.0,2.7,6.8,4.1,48.3,High Risk
Novi Sad,Serbia,45.2551,19.8452,12.6,14.5,1.8,2.4,-5.8,3.8,9.7,5.9,50.5,Moderate Risk
Varna,Bulgaria,43.2074,27.9167,13.4,15.0,1.7,2.1,-1.5,1.0,3.0,2.0,66.6,Moderate Risk
Vladivostok,Russia,60.1666,24.9435,5.9,8.3,2.4,1.6,-1.4,0.0,0.0,0.0,64.0,Moderate Risk
Katowice,Poland,50.2137,19.0059,8.8,10.5,1.8,1.9,2.0,0.0,0.0,0.0,68.6,Moderate Risk
Brasov,Romania,45.6525,25.6106,8.0,9.6,1.6,1.9,-3.5,0.0,0.0,0.0,69.5,Moderate Risk
Constanta,Romania,44.1767,28.6508,12.8,14.5,1.7,1.9,-0.4,0.0,0.0,0.0,72.9,Moderate Risk
Sarajevo,Bosnia And Herzegovina,43.8571,18.4126,10.5,12.2,1.7,2.1,-3.2,0.0,2.0,2.0,63.9,Moderate Risk
Podgorica,Montenegro,42.4415,19.2621,14.6,16.4,1.7,2.2,-10.3,2.5,14.4,11.9,43.2,High Risk
Saint Petersburg,Russia,59.9607,30.1587,5.4,7.6,2.1,1.6,1.7,0.0,0.0,0.0,68.5,Moderate Risk
Timisoara,Romania,45.7538,21.2257,12.2,14.0,1.8,2.3,-6.4,2.6,7.2,4.6,52.0,Moderate Risk
Iasi,Romania,47.1616,27.5838,10.9,12.7,1.8,1.9,0.3,3.0,4.3,1.3,70.4,Moderate Risk
Plovdiv,Bulgaria,42.1419,24.7499,12.9,14.5,1.6,2.1,1.7,1.5,4.5,3.0,67.2,Moderate Risk
Yekaterinburg,Russia,56.8382,60.6008,2.4,4.6,2.1,2.0,-0.5,0.0,0.0,0.0,64.6,Moderate Risk
Tyumen,Russia,57.1535,65.5423,2.4,4.7,2.3,2.0,1.8,0.0,0.0,0.0,59.1,Moderate Risk
Burgas,Bulgaria,42.4937,27.4721,13.4,15.0,1.6,2.1,-1.9,0.0,3.5,3.5,66.5,Moderate Risk
Craiova,Romania,44.319,23.7966,12.6,14.4,1.9,2.2,-4.1,4.2,14.2,10.0,51.5,Moderate Risk
Kaliningrad,Russia,54.7046,20.4566,8.6,10.7,2.0,1.6,0.6,0.0,0.0,0.0,72.0,Moderate Risk
Galati,Romania,45.4338,28.0549,12.2,14.0,1.8,1.9,-1.6,2.5,9.0,6.5,64.3,Moderate Risk
Targu Mures,Romania,46.5446,24.5612,10.0,11.7,1.7,2.0,0.7,0.0,1.3,1.3,69.9,Moderate Risk
