city,country,lat,lon,baseline_temp_c,future_temp_c,delta_temp_c,delta_summer_temp_c,delta_precip_pct,baseline_heat_days,future_heat_days,delta_heat_days,resilience_score,risk_tier
Eindhoven,Netherlands,51.4393,5.4786,10.8,12.3,1.5,1.8,-5.7,0.0,0.0,0.0,69.0,Moderate Risk
Graz,Austria,47.0709,15.4383,9.3,11.0,1.8,2.1,-3.6,0.0,0.0,0.0,63.1,Moderate Risk
Stuttgart,Germany,48.7784,9.18,10.3,12.0,1.7,2.0,-4.2,0.0,0.0,0.0,65.2,Moderate Risk
Dortmund,Germany,51.5142,7.4653,10.2,11.8,1.6,1.8,-4.8,0.0,0.0,0.0,68.8,Moderate Risk
Augsburg,Germany,48.369,10.898,9.2,10.9,1.7,1.9,-0.5,0.0,0.0,0.0,72.7,Moderate Risk
Uppsala,Sweden,59.8586,17.6387,6.8,8.6,1.8,1.6,-3.0,0.0,0.0,0.0,71.4,Moderate Risk
Bristol,United Kingdom,51.4538,-2.5973,10.6,11.9,1.3,1.5,-0.5,0.0,0.0,0.0,85.3,Low Risk
Berlin,Germany,52.5174,13.3951,10.0,11.6,1.6,1.8,2.2,0.0,0.0,0.0,73.1,Moderate Risk
Southampton,United Kingdom,50.9025,-1.4042,11.1,12.4,1.3,1.6,-1.5,0.0,0.0,0.0,82.2,Low Risk
Mainz,Germany,49.9995,8.2736,10.8,12.5,1.7,2.1,-6.1,0.0,1.0,1.0,59.9,Moderate Risk
Malmo,Sweden,55.6053,13.0002,9.0,10.6,1.6,1.5,-1.3,0.0,0.0,0.0,79.0,Low Risk
Toulouse,France,43.6045,1.4442,13.8,15.6,1.9,2.6,-9.4,3.0,5.1,2.1,43.0,High Risk
Nuremberg,Germany,49.4539,11.0773,9.7,11.4,1.7,2.0,-3.7,0.0,0.0,0.0,66.0,Moderate Risk
Kiel,Germany,54.3227,10.1356,9.4,11.0,1.6,1.3,-0.1,0.0,0.0,0.0,83.9,Low Risk
Groningen,Netherlands,53.2191,6.568,9.9,11.2,1.3,1.3,-1.4,0.0,0.0,0.0,86.8,Low Risk
Bremen,Germany,53.0758,8.8072,9.9,11.4,1.5,1.6,-2.2,0.0,0.0,0.0,77.7,Low Risk
Bonn,Germany,50.7353,7.1025,10.7,12.3,1.6,2.0,-5.5,0.0,1.0,1.0,64.0,Moderate Risk
Florence,Italy,43.7698,11.2556,14.4,16.2,1.8,2.4,-9.3,2.4,13.1,10.7,41.2,High Risk
Turku,Finland,60.4516,22.267,6.1,8.2,2.1,1.6,-2.1,0.0,0.0,0.0,67.9,Moderate Risk
Dresden,Germany,51.0493,13.7381,9.9,11.5,1.7,1.7,1.4,0.0,0.0,0.0,74.2,Moderate Risk
Linz,Austria,48.3059,14.2862,10.0,11.7,1.7,1.9,-0.1,0.0,0.0,0.0,73.4,Moderate Risk
Birmingham,United Kingdom,52.4797,-1.9027,9.6,10.9,1.3,1.4,-0.6,0.0,0.0,0.0,86.6,Low Risk
Brescia,Italy,45.7796,10.4259,7.9,9.6,1.8,2.2,-9.0,0.0,0.0,0.0,52.8,Moderate Risk
Limerick,Ireland,52.6613,-8.6301,10.4,11.4,1.0,1.2,0.9,0.0,0.0,0.0,94.0,Low Risk
Bordeaux,France,44.8412,-0.58,13.8,15.4,1.6,2.1,-8.2,1.5,2.9,1.4,57.8,Moderate Risk
